,AwardType,Name,Project,SubjectArea,Species,Year,Value
120,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2001..FY02.,NA
121,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2001..FY02.,NA
122,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2001..FY02.,NA
123,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2001..FY02.,NA
124,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2001..FY02.,NA
125,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2001..FY02.,NA
126,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2001..FY02.,NA
127,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2001..FY02.,NA
128,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2001..FY02.,NA
129,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2001..FY02.,NA
130,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2001..FY02.,NA
131,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2001..FY02.,NA
132,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2001..FY02.,NA
133,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2001..FY02.,NA
134,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2001..FY02.,NA
135,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2001..FY02.,NA
136,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2001..FY02.,NA
137,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2001..FY02.,NA
138,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2001..FY02.,NA
139,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2001..FY02.,NA
140,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2001..FY02.,NA
141,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2001..FY02.,NA
142,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2001..FY02.,NA
143,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2001..FY02.,NA
144,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2001..FY02.,NA
145,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2001..FY02.,NA
146,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2001..FY02.,NA
147,ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,X2001..FY02.,NA
148,ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,X2001..FY02.,NA
149,ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,X2001..FY02.,NA
150,ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,X2001..FY02.,NA
151,ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,X2001..FY02.,NA
152,ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,X2001..FY02.,NA
153,ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,X2001..FY02.,NA
154,ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,X2001..FY02.,NA
155,ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,X2001..FY02.,NA
156,ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,X2001..FY02.,NA
157,ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,X2001..FY02.,NA
158,ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,X2001..FY02.,NA
159,Misc,Merritt,Instruction in Fisheries Management,NA,NA,X2001..FY02.,17750
160,Misc,Sugai,NOSB Western Alaska Support,NA,NA,X2001..FY02.,6625
161,Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,X2001..FY02.,50898
162,Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,X2001..FY02.,NA
163,Misc,Cullenberg,Western AK Tech Training,NA,NA,X2001..FY02.,NA
164,Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,X2001..FY02.,NA
165,Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,X2001..FY02.,NA
166,Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,X2001..FY02.,NA
167,Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,X2001..FY02.,NA
168,Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,X2001..FY02.,NA
169,Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,X2001..FY02.,NA
170,Misc,Atkinson,Graduate Student Support,NA,NA,X2001..FY02.,NA
171,Misc,Christie,Wakefield Symposium Support,NA,NA,X2001..FY02.,NA
172,Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,X2001..FY02.,NA
173,Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,X2001..FY02.,NA
174,GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,X2001..FY02.,NA
175,GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,X2001..FY02.,NA
176,GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,X2001..FY02.,NA
177,GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,X2001..FY02.,NA
178,GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,X2001..FY02.,NA
179,GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,X2001..FY02.,NA
180,GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,X2001..FY02.,NA
181,GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,X2001..FY02.,NA
182,GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,X2001..FY02.,NA
183,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2002..FY03.,NA
184,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2002..FY03.,NA
185,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2002..FY03.,NA
186,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2002..FY03.,NA
187,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2002..FY03.,NA
188,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2002..FY03.,NA
189,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2002..FY03.,NA
190,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2002..FY03.,NA
191,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2002..FY03.,NA
192,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2002..FY03.,NA
193,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2002..FY03.,NA
194,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2002..FY03.,NA
195,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2002..FY03.,NA
196,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2002..FY03.,NA
197,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2002..FY03.,61111
198,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2002..FY03.,18544
199,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2002..FY03.,25000
